row_index,grade,book,topic,topic_id,skill_id,answer_model,family,duplicate_of_earlier_row
0,1,Grade 1 Addition,Writing Numbers,grade_1_addition,grade_1_addition__writing_numbers,reshape,D,
1,1,Grade 1 Addition,Table of Numbers,grade_1_addition,grade_1_addition__table_of_numbers,value,A,
2,1,Grade 1 Addition,Adding 1,grade_1_addition,grade_1_addition__adding_1,value,A,
3,1,Grade 1 Addition,Adding 2,grade_1_addition,grade_1_addition__adding_2,value,A,
4,1,Grade 1 Addition,Adding 3,grade_1_addition,grade_1_addition__adding_3,value,A,
5,1,Grade 1 Addition,Adding 4,grade_1_addition,grade_1_addition__adding_4,value,A,
6,1,Grade 1 Addition,Adding 5,grade_1_addition,grade_1_addition__adding_5,value,A,
7,1,Grade 1 Addition,Adding 6,grade_1_addition,grade_1_addition__adding_6,value,A,
8,1,Grade 1 Addition,Adding 7 and 8,grade_1_addition,grade_1_addition__adding_7_and_8,value,A,
9,1,Grade 1 Addition,Adding 9 and 10,grade_1_addition,grade_1_addition__adding_9_and_10,value,A,
10,1,Grade 1 Addition,Adding Sums up to 16,grade_1_addition,grade_1_addition__adding_sums_up_to_16,value,A,
11,1,Grade 1 Addition,Adding Sums up to 20,grade_1_addition,grade_1_addition__adding_sums_up_to_20,value,A,
12,1,Grade 1 Addition,Adding Sums up to 28,grade_1_addition,grade_1_addition__adding_sums_up_to_28,value,A,
13,1,Grade 1 Subtraction,Table of Numbers,grade_1_subtraction,grade_1_subtraction__table_of_numbers,value,A,
14,1,Grade 1 Subtraction,Subtracting 1,grade_1_subtraction,grade_1_subtraction__subtracting_1,value,A,
15,1,Grade 1 Subtraction,Subtracting 2,grade_1_subtraction,grade_1_subtraction__subtracting_2,value,A,
16,1,Grade 1 Subtraction,Subtracting 3,grade_1_subtraction,grade_1_subtraction__subtracting_3,value,A,
17,1,Grade 1 Subtraction,Subtracting 4,grade_1_subtraction,grade_1_subtraction__subtracting_4,value,A,
18,1,Grade 1 Subtraction,Subtracting 5,grade_1_subtraction,grade_1_subtraction__subtracting_5,value,A,
19,1,Grade 1 Subtraction,Subtracting,grade_1_subtraction,grade_1_subtraction__subtracting,value,A,
20,1,Grade 1 Subtraction,Three One-Digit Numbers,grade_1_subtraction,grade_1_subtraction__three_one_digit_numbers,value,A,
21,1,Grade 1 Word Problems,Addition,grade_1_word_problems,grade_1_word_problems__addition,value,A,
22,1,Grade 1 Word Problems,Subtraction,grade_1_word_problems,grade_1_word_problems__subtraction,value,A,
23,1,Grade 1 Word Problems,Addition or Subtraction,grade_1_word_problems,grade_1_word_problems__addition_or_subtraction,value,A,
24,1,Grade 1 Word Problems,Ordinal Numbers,grade_1_word_problems,grade_1_word_problems__ordinal_numbers,selection,B,
25,1,Grade 1 Word Problems,Mixed Addition and Subtraction,grade_1_word_problems,grade_1_word_problems__mixed_addition_and_subtraction,value,A,
26,1,Grade 1 Geometry & Measurement,Numbers up to 10,grade_1_geometry_measurement,grade_1_geometry_measurement__numbers_up_to_10,selection,B,
27,1,Grade 1 Geometry & Measurement,Numbers up to 20,grade_1_geometry_measurement,grade_1_geometry_measurement__numbers_up_to_20,selection,B,
28,1,Grade 1 Geometry & Measurement,Numbers up to 120,grade_1_geometry_measurement,grade_1_geometry_measurement__numbers_up_to_120,selection,B,
29,1,Grade 1 Geometry & Measurement,Telling Time,grade_1_geometry_measurement,grade_1_geometry_measurement__telling_time,figure,C,
30,1,Grade 1 Geometry & Measurement,Measurements,grade_1_geometry_measurement,grade_1_geometry_measurement__measurements,figure,C,
31,1,Grade 1 Geometry & Measurement,Coins,grade_1_geometry_measurement,grade_1_geometry_measurement__coins,value,A,
32,1,Grade 1 Geometry & Measurement,Shapes,grade_1_geometry_measurement,grade_1_geometry_measurement__shapes,figure,C,
33,2,Grade 2 Addition,Sums up to 28,grade_2_addition,grade_2_addition__sums_up_to_28,value,A,
34,2,Grade 2 Addition,Addition of Tens,grade_2_addition,grade_2_addition__addition_of_tens,value,A,
35,2,Grade 2 Addition,1- and 2-Digit Addition,grade_2_addition,grade_2_addition__1_and_2_digit_addition,value,A,
36,2,Grade 2 Addition,Sums up to 50,grade_2_addition,grade_2_addition__sums_up_to_50,value,A,
37,2,Grade 2 Addition,Sums up to 100,grade_2_addition,grade_2_addition__sums_up_to_100,value,A,
38,2,Grade 2 Addition,Sums Beyond 100,grade_2_addition,grade_2_addition__sums_beyond_100,value,A,
39,2,Grade 2 Addition,3- and 4-Digit Addition,grade_2_addition,grade_2_addition__3_and_4_digit_addition,value,A,
40,2,Grade 2 Addition,Three Numbers,grade_2_addition,grade_2_addition__three_numbers,value,A,
41,2,Grade 2 Subtraction,2-Digit Subtraction,grade_2_subtraction,grade_2_subtraction__2_digit_subtraction,value,A,
42,2,Grade 2 Subtraction,3-Digit Subtraction,grade_2_subtraction,grade_2_subtraction__3_digit_subtraction,value,A,
43,2,Grade 2 Subtraction,Subtraction,grade_2_subtraction,grade_2_subtraction__subtraction,value,A,
44,2,Grade 2 Subtraction,Subtraction of Tens,grade_2_subtraction,grade_2_subtraction__subtraction_of_tens,value,A,
45,2,Grade 2 Subtraction,Subtraction of Hundreds,grade_2_subtraction,grade_2_subtraction__subtraction_of_hundreds,value,A,
46,2,Grade 2 Subtraction,Subtraction of Thousands,grade_2_subtraction,grade_2_subtraction__subtraction_of_thousands,value,A,
47,2,Grade 2 Subtraction,Three Numbers,grade_2_subtraction,grade_2_subtraction__three_numbers,value,A,
48,2,Grade 2 Word Problems,Addition and Subtraction,grade_2_word_problems,grade_2_word_problems__addition_and_subtraction,value,A,
49,2,Grade 2 Word Problems,Length,grade_2_word_problems,grade_2_word_problems__length,value,A,
50,2,Grade 2 Word Problems,Weight,grade_2_word_problems,grade_2_word_problems__weight,value,A,
51,2,Grade 2 Word Problems,Addition or Subtraction,grade_2_word_problems,grade_2_word_problems__addition_or_subtraction,value,A,
52,2,Grade 2 Word Problems,Mixed Calculations,grade_2_word_problems,grade_2_word_problems__mixed_calculations,value,A,
53,2,Grade 2 Word Problems,Tables & Graphs,grade_2_word_problems,grade_2_word_problems__tables_graphs,figure,C,
54,2,Grade 2 Geometry & Measurement,Numbers up to 1000,grade_2_geometry_measurement,grade_2_geometry_measurement__numbers_up_to_1000,selection,B,
55,2,Grade 2 Geometry & Measurement,Numbers up to 10000,grade_2_geometry_measurement,grade_2_geometry_measurement__numbers_up_to_10000,selection,B,
56,2,Grade 2 Geometry & Measurement,Telling Time,grade_2_geometry_measurement,grade_2_geometry_measurement__telling_time,figure,C,
57,2,Grade 2 Geometry & Measurement,Length,grade_2_geometry_measurement,grade_2_geometry_measurement__length,value,A,
58,2,Grade 2 Geometry & Measurement,Weight,grade_2_geometry_measurement,grade_2_geometry_measurement__weight,value,A,
59,2,Grade 2 Geometry & Measurement,Money,grade_2_geometry_measurement,grade_2_geometry_measurement__money,value,A,
60,2,Grade 2 Geometry & Measurement,Triangles and Quadrilaterals,grade_2_geometry_measurement,grade_2_geometry_measurement__triangles_and_quadrilaterals,figure,C,
61,3,Grade 3 Addition & Subtraction,3-Digit Addition,grade_3_addition_subtraction,grade_3_addition_subtraction__3_digit_addition,value,A,
62,3,Grade 3 Addition & Subtraction,4-Digit Addition,grade_3_addition_subtraction,grade_3_addition_subtraction__4_digit_addition,value,A,
63,3,Grade 3 Addition & Subtraction,3-Digit Subtraction,grade_3_addition_subtraction,grade_3_addition_subtraction__3_digit_subtraction,value,A,
64,3,Grade 3 Addition & Subtraction,4-Digit Subtraction,grade_3_addition_subtraction,grade_3_addition_subtraction__4_digit_subtraction,value,A,
65,3,Grade 3 Multiplication,Repeated Addition,grade_3_multiplication,grade_3_multiplication__repeated_addition,value,A,
66,3,Grade 3 Multiplication,2× Tables,grade_3_multiplication,grade_3_multiplication__2x_tables,value,A,
67,3,Grade 3 Multiplication,3× Tables,grade_3_multiplication,grade_3_multiplication__3x_tables,value,A,
68,3,Grade 3 Multiplication,4× Tables,grade_3_multiplication,grade_3_multiplication__4x_tables,value,A,
69,3,Grade 3 Multiplication,5× Tables,grade_3_multiplication,grade_3_multiplication__5x_tables,value,A,
70,3,Grade 3 Multiplication,6× Tables,grade_3_multiplication,grade_3_multiplication__6x_tables,value,A,
71,3,Grade 3 Multiplication,7× Tables,grade_3_multiplication,grade_3_multiplication__7x_tables,value,A,
72,3,Grade 3 Multiplication,8× Tables,grade_3_multiplication,grade_3_multiplication__8x_tables,value,A,
73,3,Grade 3 Multiplication,9× Tables,grade_3_multiplication,grade_3_multiplication__9x_tables,value,A,
74,3,Grade 3 Multiplication,1× and 10× Tables,grade_3_multiplication,grade_3_multiplication__1x_and_10x_tables,value,A,
75,3,Grade 3 Division,Inverse Multiplication,grade_3_division,grade_3_division__inverse_multiplication,value,A,
76,3,Grade 3 Division,Division,grade_3_division,grade_3_division__division,value,A,
77,3,Grade 3 Division,Division with Remainders,grade_3_division,grade_3_division__division_with_remainders,value,A,
78,3,Grade 3 Division,Vertical Form Division,grade_3_division,grade_3_division__vertical_form_division,value,A,
79,3,Grade 3 Division,Division with Large Numbers,grade_3_division,grade_3_division__division_with_large_numbers,value,A,
80,3,Grade 3 Word Problems,Addition or Subtraction,grade_3_word_problems,grade_3_word_problems__addition_or_subtraction,value,A,
