label,scenario,level,trial,vus,duration,started_utc,ended_utc,requests_total,requests_ok,requests_failed,success_fraction,success_rate,rps,p50_ms,p95_ms,p99_ms,max_ms,status_4xx,status_5xx,timeouts,answers_submitted,attendance_blocked,iterations,threshold_p95_failed,threshold_error_rate_failed,cold_requests,warm_requests,cold_p95_ms,warm_p50_ms,warm_p95_ms,warm_p99_ms,stop_rule_ok,stop_rule_reason
burst_10vu_t2,burst,10,2,10,,2026-08-29T19:16:49Z,2026-08-29T19:16:57Z,140,140,0,140/140,1.0,20.577489641270034,321.8991665,975.2339604499998,1219.39208363,1239.545987,0,0,0,100,0,10,False,False,0,140,,321.8991665,975.2339604499998,1219.39208363,True,ok
burst_10vu_t3,burst,10,3,10,,2026-08-29T19:18:57Z,2026-08-29T19:19:06Z,140,140,0,140/140,1.0,19.90537328198527,396.982917,1050.7105884999999,1401.2488491299998,1457.125917,0,0,0,100,0,10,False,False,0,140,,396.982917,1050.7105884999999,1401.2488491299998,True,ok
burst_25vu_t1,burst,25,1,25,,2026-08-29T19:21:06Z,2026-08-29T19:21:26Z,350,350,0,350/350,1.0,18.386116234429977,1199.6736255,2828.5230644999992,3544.8014097399996,3645.303127,0,0,0,250,0,25,False,False,0,350,,1199.6736255,2828.5230644999992,3544.8014097399996,True,ok
burst_25vu_t2,burst,25,2,25,,2026-08-29T19:23:26Z,2026-08-29T19:23:47Z,350,350,0,350/350,1.0,17.845120760438917,1103.0055419999999,3203.6545413999984,3847.82122782,4001.152127,0,0,0,250,0,25,True,False,0,350,,1103.0055419999999,3203.6545413999984,3847.82122782,True,ok
burst_25vu_t3,burst,25,3,25,,2026-08-29T19:25:47Z,2026-08-29T19:26:05Z,350,350,0,350/350,1.0,20.315668148636227,1172.4470004999998,2206.8251821,2392.53670806,2987.582501,0,0,0,250,0,25,False,False,0,350,,1172.4470004999998,2206.8251821,2392.53670806,True,ok
burst_50vu_t1,burst,50,1,50,,2026-08-29T19:28:05Z,2026-08-29T19:28:48Z,700,700,0,700/700,1.0,16.788111613859936,2706.837001,8784.821862649998,10439.740195499999,12112.296756,0,0,0,500,0,50,True,False,0,700,,2706.837001,8784.821862649998,10439.740195499999,True,ok
burst_50vu_t2,burst,50,2,50,,2026-08-29T19:30:48Z,2026-08-29T19:31:35Z,700,700,0,700/700,1.0,15.29780459030321,2909.201585,8392.3318938,9570.62272516,11298.474783,0,0,0,500,0,50,True,False,0,700,,2909.201585,8392.3318938,9570.62272516,True,ok
burst_50vu_t3,burst,50,3,50,,2026-08-29T19:33:35Z,2026-08-29T19:34:28Z,700,698,2,698/700,0.9971428571428571,13.456086246105686,3017.780057,9629.7844523,11094.641135339998,12484.768839,0,2,0,498,0,50,True,False,0,700,,3017.780057,9629.7844523,11094.641135339998,False,2 5xx responses (possible D-455 rotation-class incident)
burst_10vu_3task_a,burst,10,,10,,2026-08-29T19:44:37Z,2026-08-29T19:44:43Z,140,140,0,140/140,1.0,28.761976649119614,317.268667,647.6103413999999,723.92881487,787.234042,0,0,0,100,0,10,False,False,0,140,,317.268667,647.6103413999999,723.92881487,True,ok
burst_10vu_3task_b,burst,10,,10,,2026-08-29T19:45:43Z,2026-08-29T19:45:49Z,140,140,0,140/140,1.0,28.222863472693636,342.853708,570.5160690499999,738.12198687,1053.28125,0,0,0,100,0,10,False,False,0,140,,342.853708,570.5160690499999,738.12198687,True,ok
sustained_25vu_10m,sustained,25,,25,10m,2026-08-29T19:46:49Z,2026-08-29T19:56:56Z,13550,13545,5,13545/13550,0.9996309963099631,22.356149536709367,832.825417,3104.7786372999994,4956.918925329999,15116.214173,5,0,0,9668,0,970,True,False,1652,11898,3260.28123065,858.562896,3081.457552849999,4830.253732729997,True,ok
