dimension,category,arm,n,recall@1,hit@1,recall@3,hit@3,recall@5,hit@5,recall@10,hit@10,mrr,ndcg@10,latency_p50_ms,latency_p95_ms,mean_candidates
overall,all,fts,363,0.1322,0.1322,0.1377,0.1377,0.1377,0.1377,0.1377,0.1377,0.135,0.1357,6.76,11.81,0.2
overall,all,vector,363,0.8898,0.8898,0.9835,0.9835,1.0,1.0,1.0,1.0,0.9373,0.9533,6.44,12.08,30.0
overall,all,hybrid_interleave,363,0.876,0.876,0.9862,0.9862,1.0,1.0,1.0,1.0,0.9325,0.9498,32.62,42.04,30.0
overall,all,hybrid_rrf_k20,363,0.876,0.876,0.9862,0.9862,1.0,1.0,1.0,1.0,0.932,0.9494,32.55,42.19,30.0
overall,all,hybrid_rrf_k60,363,0.876,0.876,0.9862,0.9862,1.0,1.0,1.0,1.0,0.932,0.9494,32.54,42.03,30.0
overall,all,hybrid_rrf_k120,363,0.876,0.876,0.9862,0.9862,1.0,1.0,1.0,1.0,0.932,0.9494,32.54,42.02,30.0
overall,all,hybrid_rrf_rerank,363,0.9036,0.9036,0.9862,0.9862,1.0,1.0,1.0,1.0,0.9466,0.9602,32.54,42.03,30.0
overall,all,hybrid_rrf_rerank_shipped,363,0.9036,0.9036,0.9752,0.9752,0.9835,0.9835,0.9835,0.9835,0.9407,0.9517,32.54,42.03,1.91
stratum,authorization_boundary,fts,157,0.0955,0.0955,0.0955,0.0955,0.0955,0.0955,0.0955,0.0955,0.0955,0.0955,6.78,11.81,0.18
stratum,authorization_boundary,vector,157,0.8662,0.8662,0.9809,0.9809,1.0,1.0,1.0,1.0,0.9238,0.9432,6.78,12.65,30.0
stratum,authorization_boundary,hybrid_interleave,157,0.8408,0.8408,0.9873,0.9873,1.0,1.0,1.0,1.0,0.9137,0.9359,34.22,43.76,30.0
stratum,authorization_boundary,hybrid_rrf_k20,157,0.8408,0.8408,0.9873,0.9873,1.0,1.0,1.0,1.0,0.9137,0.9359,34.22,43.76,30.0
stratum,authorization_boundary,hybrid_rrf_k60,157,0.8408,0.8408,0.9873,0.9873,1.0,1.0,1.0,1.0,0.9137,0.9359,34.2,43.75,30.0
stratum,authorization_boundary,hybrid_rrf_k120,157,0.8408,0.8408,0.9873,0.9873,1.0,1.0,1.0,1.0,0.9137,0.9359,34.2,43.75,30.0
stratum,authorization_boundary,hybrid_rrf_rerank,157,0.879,0.879,0.9873,0.9873,1.0,1.0,1.0,1.0,0.9335,0.9506,34.2,43.75,30.0
stratum,authorization_boundary,hybrid_rrf_rerank_shipped,157,0.879,0.879,0.9745,0.9745,0.9809,0.9809,0.9809,0.9809,0.927,0.9409,34.2,43.75,2.48
stratum,general,fts,94,0.1915,0.1915,0.1915,0.1915,0.1915,0.1915,0.1915,0.1915,0.1915,0.1915,6.36,11.44,0.21
stratum,general,vector,94,0.883,0.883,0.9681,0.9681,1.0,1.0,1.0,1.0,0.9277,0.9458,6.02,12.08,30.0
stratum,general,hybrid_interleave,94,0.8936,0.8936,0.9681,0.9681,1.0,1.0,1.0,1.0,0.9365,0.9525,31.01,40.08,30.0
stratum,general,hybrid_rrf_k20,94,0.8936,0.8936,0.9681,0.9681,1.0,1.0,1.0,1.0,0.9365,0.9525,31.01,40.09,30.0
stratum,general,hybrid_rrf_k60,94,0.8936,0.8936,0.9681,0.9681,1.0,1.0,1.0,1.0,0.9365,0.9525,31.0,40.07,30.0
stratum,general,hybrid_rrf_k120,94,0.8936,0.8936,0.9681,0.9681,1.0,1.0,1.0,1.0,0.9365,0.9525,31.0,40.07,30.0
stratum,general,hybrid_rrf_rerank,94,0.9255,0.9255,0.9787,0.9787,1.0,1.0,1.0,1.0,0.9551,0.9664,31.0,40.07,30.0
stratum,general,hybrid_rrf_rerank_shipped,94,0.9255,0.9255,0.9681,0.9681,0.9894,0.9894,0.9894,0.9894,0.9516,0.9611,31.0,40.07,1.85
stratum,near_duplicate_cluster,fts,112,0.1339,0.1339,0.1518,0.1518,0.1518,0.1518,0.1518,0.1518,0.1429,0.1452,6.93,11.87,0.21
stratum,near_duplicate_cluster,vector,112,0.9286,0.9286,1.0,1.0,1.0,1.0,1.0,1.0,0.9643,0.9736,6.25,11.96,30.0
stratum,near_duplicate_cluster,hybrid_interleave,112,0.9107,0.9107,1.0,1.0,1.0,1.0,1.0,1.0,0.9554,0.967,31.38,40.21,30.0
stratum,near_duplicate_cluster,hybrid_rrf_k20,112,0.9107,0.9107,1.0,1.0,1.0,1.0,1.0,1.0,0.9539,0.9659,31.38,40.07,30.0
stratum,near_duplicate_cluster,hybrid_rrf_k60,112,0.9107,0.9107,1.0,1.0,1.0,1.0,1.0,1.0,0.9539,0.9659,31.38,40.06,30.0
stratum,near_duplicate_cluster,hybrid_rrf_k120,112,0.9107,0.9107,1.0,1.0,1.0,1.0,1.0,1.0,0.9539,0.9659,31.37,40.06,30.0
stratum,near_duplicate_cluster,hybrid_rrf_rerank,112,0.9196,0.9196,0.9911,0.9911,1.0,1.0,1.0,1.0,0.9576,0.9686,31.38,40.06,30.0
stratum,near_duplicate_cluster,hybrid_rrf_rerank_shipped,112,0.9196,0.9196,0.9821,0.9821,0.9821,0.9821,0.9821,0.9821,0.9509,0.9591,31.38,40.06,1.17
phrasing,exact_lookup,fts,123,0.2358,0.2358,0.2439,0.2439,0.2439,0.2439,0.2439,0.2439,0.2398,0.2409,6.89,13.51,0.3
phrasing,exact_lookup,vector,123,0.9106,0.9106,0.9919,0.9919,1.0,1.0,1.0,1.0,0.9519,0.9643,6.72,12.33,30.0
phrasing,exact_lookup,hybrid_interleave,123,0.9187,0.9187,1.0,1.0,1.0,1.0,1.0,1.0,0.9593,0.97,33.1,42.67,30.0
phrasing,exact_lookup,hybrid_rrf_k20,123,0.9187,0.9187,1.0,1.0,1.0,1.0,1.0,1.0,0.9593,0.97,33.1,42.68,30.0
phrasing,exact_lookup,hybrid_rrf_k60,123,0.9187,0.9187,1.0,1.0,1.0,1.0,1.0,1.0,0.9593,0.97,33.09,42.66,30.0
phrasing,exact_lookup,hybrid_rrf_k120,123,0.9187,0.9187,1.0,1.0,1.0,1.0,1.0,1.0,0.9593,0.97,33.09,42.66,30.0
phrasing,exact_lookup,hybrid_rrf_rerank,123,0.9187,0.9187,0.9919,0.9919,1.0,1.0,1.0,1.0,0.9569,0.968,33.09,42.66,30.0
phrasing,exact_lookup,hybrid_rrf_rerank_shipped,123,0.9187,0.9187,0.9837,0.9837,0.9837,0.9837,0.9837,0.9837,0.9512,0.9597,33.09,42.66,1.76
phrasing,lexical_mismatch,fts,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.26,10.47,0.0
phrasing,lexical_mismatch,vector,41,0.7073,0.7073,0.9268,0.9268,1.0,1.0,1.0,1.0,0.8248,0.8688,6.24,11.06,30.0
phrasing,lexical_mismatch,hybrid_interleave,41,0.7073,0.7073,0.9268,0.9268,1.0,1.0,1.0,1.0,0.8248,0.8688,30.66,37.73,30.0
phrasing,lexical_mismatch,hybrid_rrf_k20,41,0.7073,0.7073,0.9268,0.9268,1.0,1.0,1.0,1.0,0.8248,0.8688,30.67,37.74,30.0
phrasing,lexical_mismatch,hybrid_rrf_k60,41,0.7073,0.7073,0.9268,0.9268,1.0,1.0,1.0,1.0,0.8248,0.8688,30.66,37.72,30.0
