ceiling_basis,shape,delay_s,n_concurrent,arm,k_admitted_by_ceiling,ceiling_cents,estimate_cents,trials,granted_median,granted_min,granted_max,rejected_median,errors_total,grants_beyond_k_max,spend_cents_median,overshoot_median,overshoot_min,overshoot_max,wall_clock_s_median,reservations_per_s_median
derived_k,chat_turn,0.0,10,baseline,2,50.0,25.0,3,10,10,10,0,0,8,250.0,5.0,5.0,5.0,0.013,748.1
derived_k,chat_turn,0.0,10,fixed,2,50.0,25.0,3,2,2,2,8,0,0,50.0,1.0,1.0,1.0,0.021,474.0
derived_k,chat_turn,0.0,50,baseline,12,300.0,25.0,3,50,50,50,0,0,38,1250.0,4.1667,4.1667,4.1667,0.321,155.8
derived_k,chat_turn,0.0,50,fixed,12,300.0,25.0,3,12,12,12,38,0,0,300.0,1.0,1.0,1.0,0.393,127.2
derived_k,chat_turn,0.0,100,baseline,25,625.0,25.0,3,75,73,86,25,0,61,1875.0,3.0,2.92,3.44,0.372,268.7
derived_k,chat_turn,0.0,100,fixed,25,625.0,25.0,3,25,25,25,75,0,0,625.0,1.0,1.0,1.0,0.489,204.4
derived_k,chat_turn,0.0,200,baseline,50,1250.0,25.0,3,127,115,153,73,0,103,3175.0,2.54,2.3,3.06,0.468,427.5
derived_k,chat_turn,0.0,200,fixed,50,1250.0,25.0,3,50,50,50,150,0,0,1250.0,1.0,1.0,1.0,0.675,296.4
derived_k,chat_turn,0.25,10,baseline,2,50.0,25.0,3,10,10,10,0,0,8,250.0,5.0,5.0,5.0,0.293,34.1
derived_k,chat_turn,0.25,10,fixed,2,50.0,25.0,3,2,2,2,8,0,0,50.0,1.0,1.0,1.0,0.292,34.3
derived_k,chat_turn,0.25,50,baseline,12,300.0,25.0,3,50,50,50,0,0,38,1250.0,4.1667,4.1667,4.1667,0.887,56.4
derived_k,chat_turn,0.25,50,fixed,12,300.0,25.0,3,12,12,12,38,0,0,300.0,1.0,1.0,1.0,0.567,88.1
derived_k,chat_turn,0.25,100,baseline,25,625.0,25.0,3,100,100,100,0,0,75,2500.0,4.0,4.0,4.0,0.895,111.7
derived_k,chat_turn,0.25,100,fixed,25,625.0,25.0,3,25,25,25,75,0,0,625.0,1.0,1.0,1.0,0.61,164.0
derived_k,chat_turn,0.25,200,baseline,50,1250.0,25.0,3,200,200,200,0,0,150,5000.0,4.0,4.0,4.0,0.92,217.4
derived_k,chat_turn,0.25,200,fixed,50,1250.0,25.0,3,50,50,50,150,0,0,1250.0,1.0,1.0,1.0,0.683,292.8
derived_k,chat_turn,3.0,10,baseline,2,50.0,25.0,3,10,10,10,0,0,8,250.0,5.0,5.0,5.0,3.039,3.3
derived_k,chat_turn,3.0,10,fixed,2,50.0,25.0,3,2,2,2,8,0,0,50.0,1.0,1.0,1.0,3.041,3.3
derived_k,chat_turn,3.0,50,baseline,12,300.0,25.0,3,50,50,50,0,0,38,1250.0,4.1667,4.1667,4.1667,3.63,13.8
derived_k,chat_turn,3.0,50,fixed,12,300.0,25.0,3,12,12,12,38,0,0,300.0,1.0,1.0,1.0,3.35,14.9
derived_k,chat_turn,3.0,100,baseline,25,625.0,25.0,3,100,100,100,0,0,75,2500.0,4.0,4.0,4.0,3.633,27.5
derived_k,chat_turn,3.0,100,fixed,25,625.0,25.0,3,25,25,25,75,0,0,625.0,1.0,1.0,1.0,3.36,29.8
derived_k,chat_turn,3.0,200,baseline,50,1250.0,25.0,3,200,200,200,0,0,150,5000.0,4.0,4.0,4.0,3.727,53.7
derived_k,chat_turn,3.0,200,fixed,50,1250.0,25.0,3,50,50,50,150,0,0,1250.0,1.0,1.0,1.0,3.438,58.2
derived_k,report,0.0,10,baseline,2,4.5,2.25,3,10,10,10,0,0,8,22.5,5.0,5.0,5.0,0.013,760.8
derived_k,report,0.0,10,fixed,2,4.5,2.25,3,2,2,2,8,0,0,4.5,1.0,1.0,1.0,0.02,512.6
derived_k,report,0.0,50,baseline,12,27.0,2.25,3,50,50,50,0,0,38,112.5,4.1667,4.1667,4.1667,0.32,156.1
derived_k,report,0.0,50,fixed,12,27.0,2.25,3,12,12,12,38,0,0,27.0,1.0,1.0,1.0,0.434,115.2
derived_k,report,0.0,100,baseline,25,56.25,2.25,3,81,79,89,19,0,64,182.25,3.24,3.16,3.56,0.369,271.1
derived_k,report,0.0,100,fixed,25,56.25,2.25,3,25,25,25,75,0,0,56.25,1.0,1.0,1.0,0.494,202.3
derived_k,report,0.0,200,baseline,50,112.5,2.25,3,127,113,158,73,0,108,285.75,2.54,2.26,3.16,0.43,464.6
derived_k,report,0.0,200,fixed,50,112.5,2.25,3,50,50,50,150,0,0,112.5,1.0,1.0,1.0,0.669,299.0
derived_k,report,0.25,10,baseline,2,4.5,2.25,3,10,10,10,0,0,8,22.5,5.0,5.0,5.0,0.29,34.5
derived_k,report,0.25,10,fixed,2,4.5,2.25,3,2,2,2,8,0,0,4.5,1.0,1.0,1.0,0.282,35.5
derived_k,report,0.25,50,baseline,12,27.0,2.25,3,50,50,50,0,0,38,112.5,4.1667,4.1667,4.1667,0.866,57.7
derived_k,report,0.25,50,fixed,12,27.0,2.25,3,12,12,12,38,0,0,27.0,1.0,1.0,1.0,0.57,87.8
derived_k,report,0.25,100,baseline,25,56.25,2.25,3,100,100,100,0,0,75,225.0,4.0,4.0,4.0,0.872,114.7
derived_k,report,0.25,100,fixed,25,56.25,2.25,3,25,25,25,75,0,0,56.25,1.0,1.0,1.0,0.61,163.8
derived_k,report,0.25,200,baseline,50,112.5,2.25,3,200,200,200,0,0,150,450.0,4.0,4.0,4.0,0.946,211.4
derived_k,report,0.25,200,fixed,50,112.5,2.25,3,50,50,50,150,0,0,112.5,1.0,1.0,1.0,0.678,294.8
derived_k,report,3.0,10,baseline,2,4.5,2.25,3,10,10,10,0,0,8,22.5,5.0,5.0,5.0,3.035,3.3
derived_k,report,3.0,10,fixed,2,4.5,2.25,3,2,2,2,8,0,0,4.5,1.0,1.0,1.0,3.048,3.3
derived_k,report,3.0,50,baseline,12,27.0,2.25,3,50,50,50,0,0,38,112.5,4.1667,4.1667,4.1667,3.63,13.8
derived_k,report,3.0,50,fixed,12,27.0,2.25,3,12,12,12,38,0,0,27.0,1.0,1.0,1.0,3.334,15.0
derived_k,report,3.0,100,baseline,25,56.25,2.25,3,100,100,100,0,0,75,225.0,4.0,4.0,4.0,3.65,27.4
derived_k,report,3.0,100,fixed,25,56.25,2.25,3,25,25,25,75,0,0,56.25,1.0,1.0,1.0,3.364,29.7
derived_k,report,3.0,200,baseline,50,112.5,2.25,3,200,200,200,0,0,150,450.0,4.0,4.0,4.0,3.72,53.8
derived_k,report,3.0,200,fixed,50,112.5,2.25,3,50,50,50,150,0,0,112.5,1.0,1.0,1.0,3.439,58.2
derived_k,tutor_chat,0.0,10,baseline,2,8.0,4.0,3,10,10,10,0,0,8,40.0,5.0,5.0,5.0,0.012,806.1
derived_k,tutor_chat,0.0,10,fixed,2,8.0,4.0,3,2,2,2,8,0,0,8.0,1.0,1.0,1.0,0.021,486.6
derived_k,tutor_chat,0.0,50,baseline,12,48.0,4.0,3,50,50,50,0,0,38,200.0,4.1667,4.1667,4.1667,0.329,152.0
derived_k,tutor_chat,0.0,50,fixed,12,48.0,4.0,3,12,12,12,38,0,0,48.0,1.0,1.0,1.0,0.389,128.6
derived_k,tutor_chat,0.0,100,baseline,25,100.0,4.0,3,73,73,86,27,0,61,292.0,2.92,2.92,3.44,0.368,271.7
derived_k,tutor_chat,0.0,100,fixed,25,100.0,4.0,3,25,25,25,75,0,0,100.0,1.0,1.0,1.0,0.487,205.4
derived_k,tutor_chat,0.0,200,baseline,50,200.0,4.0,3,129,127,153,71,0,103,516.0,2.58,2.54,3.06,0.449,445.5
derived_k,tutor_chat,0.0,200,fixed,50,200.0,4.0,3,50,50,50,150,0,0,200.0,1.0,1.0,1.0,0.674,296.8
derived_k,tutor_chat,0.25,10,baseline,2,8.0,4.0,3,10,10,10,0,0,8,40.0,5.0,5.0,5.0,0.287,34.9
derived_k,tutor_chat,0.25,10,fixed,2,8.0,4.0,3,2,2,2,8,0,0,8.0,1.0,1.0,1.0,0.285,35.1
derived_k,tutor_chat,0.25,50,baseline,12,48.0,4.0,3,50,50,50,0,0,38,200.0,4.1667,4.1667,4.1667,0.877,57.0
