student_external_id,student_class,events,raw_history_tokens,live_memory_tokens,served_fact_tokens,compression_ratio_vs_live_memory,compression_ratio_vs_served_fact,raw_exceeds_input_ceiling,raw_input_cents_per_request,live_memory_input_cents_per_request
bench-student-00000,standard,176,17356,1265,91,13.72,190.725,False,1.7356,0.1265
bench-student-00001,standard,252,23670,1547,91,15.301,260.11,False,2.367,0.1547
bench-student-00002,standard,252,23825,1452,80,16.408,297.812,False,2.3825,0.1452
bench-student-00003,heavy_tail,4500,366868,1101,80,333.213,4585.85,True,36.6868,0.1101
bench-student-00004,standard,309,28589,1646,80,17.369,357.363,False,2.8589,0.1646
bench-student-00005,standard,304,28025,1548,91,18.104,307.967,False,2.8025,0.1548
bench-student-00006,standard,158,15950,1638,91,9.737,175.275,False,1.595,0.1638
bench-student-00007,standard,184,17992,1186,91,15.17,197.714,False,1.7992,0.1186
bench-student-00008,standard,215,20703,1545,80,13.4,258.788,False,2.0703,0.1545
bench-student-00009,standard,243,22976,1279,80,17.964,287.2,False,2.2976,0.1279
bench-student-00010,standard,171,16899,1383,80,12.219,211.238,False,1.6899,0.1383
bench-student-00011,extreme_tail,10700,870003,1197,91,726.82,9560.473,True,87.0003,0.1197
bench-student-00012,standard,270,25363,1638,91,15.484,278.714,False,2.5363,0.1638
bench-student-00013,standard,269,25163,1543,80,16.308,314.538,False,2.5163,0.1543
bench-student-00014,standard,197,19077,1274,80,14.974,238.463,False,1.9077,0.1274
bench-student-00015,standard,294,27324,1547,91,17.663,300.264,False,2.7324,0.1547
bench-student-00016,standard,221,21060,1371,80,15.361,263.25,False,2.106,0.1371
bench-student-00017,standard,308,28321,1722,91,16.447,311.22,False,2.8321,0.1722
bench-student-00018,standard,277,25745,1469,80,17.526,321.812,False,2.5745,0.1469
bench-student-00019,standard,207,19882,1462,80,13.599,248.525,False,1.9882,0.1462
bench-student-00020,standard,347,31607,1459,80,21.663,395.087,False,3.1607,0.1459
bench-student-00021,standard,197,19188,1366,80,14.047,239.85,False,1.9188,0.1366
bench-student-00022,standard,265,24738,1550,80,15.96,309.225,False,2.4738,0.155
bench-student-00023,standard,298,27573,1547,80,17.824,344.663,False,2.7573,0.1547
bench-student-00024,standard,216,20653,1639,80,12.601,258.163,False,2.0653,0.1639
bench-student-00025,standard,224,21458,1725,80,12.439,268.225,False,2.1458,0.1725
bench-student-00026,standard,246,23204,1547,80,14.999,290.05,False,2.3204,0.1547
bench-student-00027,standard,207,19988,1371,80,14.579,249.85,False,1.9988,0.1371
bench-student-00028,standard,214,20605,1451,80,14.201,257.562,False,2.0605,0.1451
bench-student-00029,standard,199,19336,1452,80,13.317,241.7,False,1.9336,0.1452
bench-student-00030,standard,239,22732,1532,80,14.838,284.15,False,2.2732,0.1532
bench-student-00031,standard,283,26455,1545,80,17.123,330.688,False,2.6455,0.1545
bench-student-00032,standard,168,16687,1174,80,14.214,208.588,False,1.6687,0.1174
bench-student-00033,standard,168,16744,1381,80,12.125,209.3,False,1.6744,0.1381
bench-student-00034,standard,229,21786,1456,85,14.963,256.306,False,2.1786,0.1456
bench-student-00035,standard,292,27179,1555,91,17.478,298.67,False,2.7179,0.1555
bench-student-00036,standard,248,23433,1361,80,17.217,292.913,False,2.3433,0.1361
bench-student-00037,standard,228,21694,1360,80,15.951,271.175,False,2.1694,0.136
bench-student-00038,standard,177,17388,1181,80,14.723,217.35,False,1.7388,0.1181
