question_validation_run_id,created_at,pipeline_run_id,outcome,attributed_stage,attribution_basis,failure_family,cost_cents,topic_id,skill_id,requested_difficulty,has_candidate_snapshot,regate_would_reject,regate_failure_families
beba6e74-b4c3-4f26-88a9-e2640a4a4f09,2026-08-29T23:34:54.878786+00:00,0e111b3f-bd93-410e-a16c-6ee2b8e753a6,rejected,validation,stage_evidence,answer key: derived answer disagrees,3.6285,algebra_1,alg1_quadratics,3,yes,yes,answer key: derived answer disagrees
d2c1107a-445f-496d-853a-1827e9fe3f9a,2026-08-29T23:36:26.700982+00:00,0e111b3f-bd93-410e-a16c-6ee2b8e753a6,rejected,validation,stage_evidence,answer key: derived answer disagrees,3.7017,algebra_1,alg1_quadratics,3,yes,yes,answer key: derived answer disagrees
3c1b065d-8103-431e-aa5d-fa52fba1ed7e,2026-08-29T23:37:00.730924+00:00,0e111b3f-bd93-410e-a16c-6ee2b8e753a6,rejected,validation,stage_evidence,answer key: derived answer disagrees,3.7488,algebra_1,alg1_quadratics,3,yes,yes,answer key: derived answer disagrees
e528c845-ad5e-432b-902c-d15e1274a03a,2026-08-29T23:37:34.427160+00:00,0e111b3f-bd93-410e-a16c-6ee2b8e753a6,rejected,validation,stage_evidence,answer key: derived answer disagrees,3.4578,algebra_1,alg1_quadratics,3,yes,yes,answer key: derived answer disagrees
fc143b12-4609-4321-bb89-ea31add767f3,2026-08-29T23:38:46.188103+00:00,0e111b3f-bd93-410e-a16c-6ee2b8e753a6,rejected,validation,stage_evidence,answer key: derived answer disagrees,3.0525,algebra_1,alg1_quadratics,3,yes,yes,answer key: derived answer disagrees
7092eff6-e636-44b2-9aa4-797847064d4d,2026-08-29T23:39:18.381124+00:00,0e111b3f-bd93-410e-a16c-6ee2b8e753a6,rejected,validation,stage_evidence,answer key: derived answer disagrees,3.3429,algebra_1,alg1_quadratics,3,yes,yes,answer key: derived answer disagrees
93c70aa6-d055-46bb-bdf8-4a1c828f2928,2026-08-29T23:40:17.815309+00:00,0e111b3f-bd93-410e-a16c-6ee2b8e753a6,rejected,validation,stage_evidence,answer key: derived answer disagrees,5.6256,algebra_1,alg1_quadratics,4,yes,yes,answer key: derived answer disagrees
168c1d9a-615c-4246-b4b0-c7bea1d20f8a,2026-08-29T23:40:47.870566+00:00,0e111b3f-bd93-410e-a16c-6ee2b8e753a6,rejected,validation,stage_evidence,answer key: derived answer disagrees,3.1893,algebra_1,alg1_quadratics,4,yes,yes,answer key: derived answer disagrees
18c6f82b-ba0e-4d34-900e-95e3f395ca7b,2026-08-29T23:41:41.580948+00:00,0e111b3f-bd93-410e-a16c-6ee2b8e753a6,rejected,validation,stage_evidence,answer key: derived answer disagrees,3.3468,algebra_1,alg1_quadratics,4,yes,yes,answer key: derived answer disagrees
1c68e3fe-4e8c-4656-a043-56a426d9855e,2026-08-29T23:42:11.897066+00:00,0e111b3f-bd93-410e-a16c-6ee2b8e753a6,rejected,validation,stage_evidence,answer key: derived answer disagrees,3.1557,algebra_1,alg1_quadratics,4,yes,yes,answer key: derived answer disagrees
