pipeline_run_id,candidates,accepted,rejected,acceptance_rate,cost_cents,cost_cents_per_accepted,first_candidate_at,last_candidate_at,rejected_at_design,rejected_at_generator,rejected_at_validation,rejected_at_dedup,rejected_at_solver,rejected_at_judge,rejected_at_difficulty,rejected_at_budget,rejected_at_circuit_open
(unidentified),1535,769,766,0.5009771986970684,3381.2075,4.3969,2026-08-05T21:58:09.263460+00:00,2026-08-12T19:24:12.626582+00:00,36,77,292,15,80,49,117,16,84
3973e552-4cee-4b4d-852c-6fb081cf8ab3,68,43,25,0.6323529411764706,169.9291,3.9518,2026-08-12T21:37:37.679465+00:00,2026-08-12T22:08:22.412074+00:00,2,0,17,1,1,2,2,0,0
704624f4-d643-44d7-bf57-79964e1592b1,24,10,14,0.4166666666666667,68.3974,6.8397,2026-08-13T00:17:22.041693+00:00,2026-08-13T00:28:23.753504+00:00,0,0,12,0,2,0,0,0,0
0e68de97-5f2b-4a0d-a860-51fda2929a86,18,7,11,0.3888888888888889,58.2892,8.327,2026-08-13T00:32:39.531706+00:00,2026-08-13T00:43:23.678071+00:00,7,0,4,0,0,0,0,0,0
37cb300f-3f66-472d-bae6-721154e7404f,18,5,13,0.2777777777777778,46.2764,9.2553,2026-08-13T02:53:00.310275+00:00,2026-08-13T03:00:38.470160+00:00,0,1,9,0,0,1,2,0,0
b3980d10-d50a-43fe-b083-6931e63191bc,42,16,26,0.38095238095238093,71.2686,4.4543,2026-08-13T03:58:01.658601+00:00,2026-08-13T04:10:43.763346+00:00,0,0,26,0,0,0,0,0,0
b6935999-e18f-435a-805b-250928017604,30,3,27,0.1,27.0164,9.0055,2026-08-13T04:12:56.688398+00:00,2026-08-13T04:17:54.709184+00:00,0,0,27,0,0,0,0,0,0
81715795-e4d3-4b6b-b080-858a3bcb8f8f,8,8,0,1.0,21.2285,2.6536,2026-08-13T05:21:25.832211+00:00,2026-08-13T05:24:51.229531+00:00,0,0,0,0,0,0,0,0,0
42ae87cc-2fd3-4b61-8714-78dea2e42811,8,8,0,1.0,32.4096,4.0512,2026-08-13T05:25:35.601660+00:00,2026-08-13T05:30:42.795641+00:00,0,0,0,0,0,0,0,0,0
e88566a0-5834-433f-901d-90307c695975,16,0,16,0.0,53.2568,,2026-08-13T06:12:33.894949+00:00,2026-08-13T06:20:22.350913+00:00,6,0,4,0,0,3,3,0,0
6865c91e-66b1-483b-8a27-f740c8883f5f,20,3,17,0.15,54.2876,18.0959,2026-08-13T06:26:39.231149+00:00,2026-08-13T06:34:46.201036+00:00,9,0,4,0,0,3,1,0,0
8b2fadbb-9865-453d-8911-060b556d8ad7,10,0,10,0.0,25.245,,2026-08-13T06:36:44.305586+00:00,2026-08-13T06:40:10.533619+00:00,9,0,1,0,0,0,0,0,0
ca44711a-dbb5-4cee-982c-d50813b2922f,10,0,10,0.0,14.4607,,2026-08-13T06:41:08.123598+00:00,2026-08-13T06:43:24.539680+00:00,0,0,8,0,0,1,1,0,0
f1b927ff-d7ca-4f36-ab41-8249d6911127,10,0,10,0.0,23.9689,,2026-08-13T17:27:16.254506+00:00,2026-08-13T17:30:43.160560+00:00,8,0,1,0,1,0,0,0,0
c806a111-ba52-47de-bb63-9b33aa234fbf,10,6,4,0.6,27.3654,4.5609,2026-08-13T17:31:55.637923+00:00,2026-08-13T17:36:51.776408+00:00,0,0,4,0,0,0,0,0,0
