question_validation_run_id,created_at,pipeline_run_id,outcome,attributed_stage,attribution_basis,failure_family,cost_cents,topic_id,skill_id,requested_difficulty,has_candidate_snapshot,regate_would_reject,regate_failure_families
7201ffeb-92e3-45c9-9024-b2d0028cc04d,2026-08-05T21:58:09.263460+00:00,,rejected,generator,reason_text,other,0.3716,,,,no,,
38e22396-8d54-427c-8c75-5ac37b8a086c,2026-08-05T21:58:09.263460+00:00,,rejected,generator,reason_text,other,0.3716,,,,no,,
69d4108b-e640-4c23-8578-c8f26a37c491,2026-08-05T21:58:09.263460+00:00,,rejected,generator,reason_text,other,0.3717,,,,no,,
b6988d6a-f70d-4498-8b24-b58e37130ee7,2026-08-05T21:58:09.263460+00:00,,rejected,generator,reason_text,other,0.3718,,,,no,,
ba80b14e-2b64-43b3-bd14-aa420b14be4e,2026-08-05T21:58:09.263460+00:00,,rejected,generator,reason_text,other,0.3718,,,,no,,
4594189b-cf3b-4646-966c-bf13a818528c,2026-08-05T21:58:09.263460+00:00,,rejected,generator,reason_text,other,0.3718,,,,no,,
967a2376-afac-4bec-bf35-11d2dbaf6b29,2026-08-05T21:58:09.263460+00:00,,rejected,generator,reason_text,other,0.3714,,,,no,,
8542acc9-8939-4352-be15-66af6e622365,2026-08-05T21:58:09.263460+00:00,,rejected,generator,reason_text,other,0.3714,,,,no,,
d3308969-1262-4204-8177-54fa07b95a90,2026-08-05T21:58:09.263460+00:00,,rejected,generator,reason_text,other,0.3714,,,,no,,
f9949764-65ed-4a19-b0a9-f8008b9e1f8b,2026-08-05T21:58:09.263460+00:00,,rejected,generator,reason_text,other,0.3714,,,,no,,
fdca6181-3b45-42e4-8e17-fbff177942f8,2026-08-05T21:58:09.263460+00:00,,rejected,generator,reason_text,other,0.3716,,,,no,,
0ee9756a-c856-4be8-beca-b723f539ba16,2026-08-05T22:03:23.156022+00:00,,pending,accepted,accepted,,1.1279,linear_equations,linear_two_step,2,no,,
6cee3ce3-fed5-48a3-b81e-7ddb565726da,2026-08-05T22:03:23.156022+00:00,,rejected,validation,stage_evidence,answer key: derived answer disagrees,0.5744,,,,no,,
45c7aa67-3eed-408f-aa52-d00052e0d458,2026-08-05T22:03:23.156022+00:00,,rejected,validation,stage_evidence,answer key: derived answer disagrees,0.5883,,,,no,,
d75e25f9-916a-47f1-8318-aff17b38f83c,2026-08-05T22:03:23.156022+00:00,,rejected,validation,stage_evidence,answer key: derived answer disagrees,0.5623,,,,no,,
57fc545f-69ea-4266-84fc-0480c63b17bb,2026-08-05T22:03:23.156022+00:00,,pending,accepted,accepted,,1.1636,linear_equations,linear_neg_frac_coeff,2,no,,
c47f292e-7032-4f80-b162-8ae36db5a6f5,2026-08-05T22:03:23.156022+00:00,,pending,accepted,accepted,,1.2550,linear_equations,linear_distribute,5,no,,
1625277b-acd3-48ec-b164-85d417206d6b,2026-08-05T22:03:23.156022+00:00,,rejected,validation,stage_evidence,answer key: derived answer disagrees,0.5486,,,,no,,
aa7b8235-4855-4597-a78d-8f15c4559487,2026-08-05T22:03:23.156022+00:00,,rejected,validation,stage_evidence,answer key: derived answer disagrees,0.4974,,,,no,,
b4681ca6-b14a-49f1-9a75-2e683c5ca2d7,2026-08-05T22:03:23.156022+00:00,,rejected,validation,stage_evidence,answer key: derived answer disagrees,0.5636,,,,no,,
a81b4867-8caf-4315-a252-0062ba7e57cb,2026-08-05T22:03:23.156022+00:00,,pending,accepted,accepted,,1.1814,linear_equations,linear_both_sides,4,no,,
4575eb98-2227-40f1-b7b0-3290850c5b15,2026-08-05T22:03:23.156022+00:00,,rejected,dedup,stage_evidence,other,0.6084,,,,no,,
8b175a11-6295-4efc-8237-1cb98de0d508,2026-08-05T22:10:52.387903+00:00,,rejected,validation,stage_evidence,hint ladder,0.5483,,,,no,,
77c96683-d347-4e09-a4c9-2fa6712d7ef3,2026-08-05T22:10:52.387903+00:00,,rejected,validation,stage_evidence,answer leakage,0.5662,,,,no,,
