grade,book,topic
1,Grade 1 Addition,Writing Numbers
1,Grade 1 Addition,Table of Numbers
1,Grade 1 Addition,Adding 1
1,Grade 1 Addition,Adding 2
1,Grade 1 Addition,Adding 3
1,Grade 1 Addition,Adding 4
1,Grade 1 Addition,Adding 5
1,Grade 1 Addition,Adding 6
1,Grade 1 Addition,Adding 7 and 8
1,Grade 1 Addition,Adding 9 and 10
1,Grade 1 Addition,Adding Sums up to 16
1,Grade 1 Addition,Adding Sums up to 20
1,Grade 1 Addition,Adding Sums up to 28
1,Grade 1 Subtraction,Table of Numbers
1,Grade 1 Subtraction,Subtracting 1
1,Grade 1 Subtraction,Subtracting 2
1,Grade 1 Subtraction,Subtracting 3
1,Grade 1 Subtraction,Subtracting 4
1,Grade 1 Subtraction,Subtracting 5
1,Grade 1 Subtraction,Subtracting
1,Grade 1 Subtraction,Three One-Digit Numbers
1,Grade 1 Word Problems,Addition
1,Grade 1 Word Problems,Subtraction
1,Grade 1 Word Problems,Addition or Subtraction
1,Grade 1 Word Problems,Ordinal Numbers
1,Grade 1 Word Problems,Mixed Addition and Subtraction
1,Grade 1 Geometry & Measurement,Numbers up to 10
1,Grade 1 Geometry & Measurement,Numbers up to 20
1,Grade 1 Geometry & Measurement,Numbers up to 120
1,Grade 1 Geometry & Measurement,Telling Time
1,Grade 1 Geometry & Measurement,Measurements
1,Grade 1 Geometry & Measurement,Coins
1,Grade 1 Geometry & Measurement,Shapes
2,Grade 2 Addition,Sums up to 28
2,Grade 2 Addition,Addition of Tens
2,Grade 2 Addition,1- and 2-Digit Addition
2,Grade 2 Addition,Sums up to 50
2,Grade 2 Addition,Sums up to 100
2,Grade 2 Addition,Sums Beyond 100
2,Grade 2 Addition,3- and 4-Digit Addition
2,Grade 2 Addition,Three Numbers
2,Grade 2 Subtraction,2-Digit Subtraction
2,Grade 2 Subtraction,3-Digit Subtraction
2,Grade 2 Subtraction,Subtraction
2,Grade 2 Subtraction,Subtraction of Tens
2,Grade 2 Subtraction,Subtraction of Hundreds
2,Grade 2 Subtraction,Subtraction of Thousands
2,Grade 2 Subtraction,Three Numbers
2,Grade 2 Word Problems,Addition and Subtraction
2,Grade 2 Word Problems,Length
2,Grade 2 Word Problems,Weight
2,Grade 2 Word Problems,Addition or Subtraction
2,Grade 2 Word Problems,Mixed Calculations
2,Grade 2 Word Problems,Tables & Graphs
2,Grade 2 Geometry & Measurement,Numbers up to 1000
2,Grade 2 Geometry & Measurement,Numbers up to 10000
2,Grade 2 Geometry & Measurement,Telling Time
2,Grade 2 Geometry & Measurement,Length
2,Grade 2 Geometry & Measurement,Weight
2,Grade 2 Geometry & Measurement,Money
2,Grade 2 Geometry & Measurement,Triangles and Quadrilaterals
3,Grade 3 Addition & Subtraction,3-Digit Addition
3,Grade 3 Addition & Subtraction,4-Digit Addition
3,Grade 3 Addition & Subtraction,3-Digit Subtraction
3,Grade 3 Addition & Subtraction,4-Digit Subtraction
3,Grade 3 Multiplication,Repeated Addition
3,Grade 3 Multiplication,2× Tables
3,Grade 3 Multiplication,3× Tables
3,Grade 3 Multiplication,4× Tables
3,Grade 3 Multiplication,5× Tables
3,Grade 3 Multiplication,6× Tables
3,Grade 3 Multiplication,7× Tables
3,Grade 3 Multiplication,8× Tables
3,Grade 3 Multiplication,9× Tables
3,Grade 3 Multiplication,1× and 10× Tables
3,Grade 3 Division,Inverse Multiplication
3,Grade 3 Division,Division
3,Grade 3 Division,Division with Remainders
